NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	38	-0.40951544	-1.7098813	0.0040816325	0.04726351	0.018	2601	tags=37%, list=15%, signal=43%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	31	-0.42323583	-1.6790963	0.015444015	0.027458856	0.022	2537	tags=42%, list=15%, signal=49%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	140	-0.2964966	-1.6341028	0.0	0.025607709	0.032	4147	tags=38%, list=24%, signal=49%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	138	-0.24963722	-1.3504881	0.008064516	0.12868768	0.225	1944	tags=23%, list=11%, signal=26%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	176	-0.22422789	-1.2506465	0.010989011	0.22338232	0.425	3964	tags=32%, list=23%, signal=41%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	24	-0.32519737	-1.1815352	0.2125	0.31331	0.625	3857	tags=50%, list=22%, signal=64%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	96	-0.22447798	-1.1431026	0.17088607	0.3531637	0.739	4385	tags=30%, list=25%, signal=40%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	26	-0.30263218	-1.1429383	0.225	0.30901822	0.739	2939	tags=31%, list=17%, signal=37%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	162	-0.1978363	-1.1186658	0.15238096	0.33020848	0.8	3866	tags=28%, list=22%, signal=36%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	154	-0.19038974	-1.0598179	0.33043477	0.43893927	0.912	2609	tags=21%, list=15%, signal=24%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	89	-0.18748964	-0.9392008	0.59302324	0.7829516	0.992	3461	tags=26%, list=20%, signal=32%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	154	-0.16603824	-0.9162482	0.7244898	0.78606415	0.995	3754	tags=27%, list=22%, signal=35%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	122	-0.16842434	-0.9032025	0.7259259	0.758345	0.995	5563	tags=40%, list=32%, signal=59%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	30	-0.17774367	-0.69132614	0.93822396	0.9775456	0.998	1149	tags=13%, list=7%, signal=14%	
