NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	51	0.69906765	2.5752614	0.0	0.0	0.0	2863	tags=63%, list=17%, signal=75%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	0.5502748	2.455187	0.0	0.0	0.0	3044	tags=46%, list=18%, signal=56%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	184	0.5361589	2.4107773	0.0	0.0	0.0	3526	tags=52%, list=20%, signal=64%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	186	0.5065112	2.2627838	0.0	0.0	0.0	3703	tags=48%, list=21%, signal=61%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	170	0.503746	2.242879	0.0	0.0	0.0	5188	tags=57%, list=30%, signal=81%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	124	0.48097262	2.0551646	0.0	0.0	0.0	4858	tags=55%, list=28%, signal=76%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	96	0.47399902	1.9955847	0.0	1.09422486E-4	0.001	3450	tags=45%, list=20%, signal=56%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	181	0.42660192	1.9107116	0.0	2.1112929E-4	0.002	3726	tags=42%, list=22%, signal=53%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	134	0.42185372	1.8199173	0.0	0.0012126273	0.013	4763	tags=44%, list=28%, signal=60%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	188	0.3993135	1.7830415	0.0	0.0014285203	0.017	3128	tags=38%, list=18%, signal=46%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	89	0.4213236	1.7043946	0.0	0.0033069751	0.043	2872	tags=42%, list=17%, signal=50%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	175	0.35655954	1.5880371	0.0010893246	0.011529068	0.149	5744	tags=50%, list=33%, signal=74%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	123	0.35632333	1.5282797	0.0034642033	0.022250483	0.291	4660	tags=41%, list=27%, signal=56%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	41	0.416327	1.484816	0.030955585	0.03273132	0.428	5693	tags=56%, list=33%, signal=83%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	161	0.33017692	1.4586884	0.0076754387	0.039380852	0.518	4591	tags=39%, list=27%, signal=53%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	175	0.31764847	1.4118724	0.01664817	0.05933852	0.698	5765	tags=48%, list=33%, signal=71%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	131	0.32517737	1.406126	0.013498313	0.059672385	0.713	5554	tags=47%, list=32%, signal=68%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	64	0.32824108	1.2652843	0.11809045	0.1937164	0.981	5522	tags=44%, list=32%, signal=64%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	162	0.265373	1.174647	0.15154867	0.35207543	1.0	5984	tags=48%, list=35%, signal=73%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	97	0.27876568	1.1458608	0.22894424	0.40049732	1.0	4066	tags=33%, list=23%, signal=43%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		170	0.2543854	1.1371512	0.21878453	0.40102735	1.0	6320	tags=47%, list=36%, signal=73%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		52	0.2838667	1.0590328	0.37128714	0.5900705	1.0	2179	tags=23%, list=13%, signal=26%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		154	0.2383158	1.0415993	0.39349777	0.61524504	1.0	6770	tags=46%, list=39%, signal=75%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		151	0.23768567	1.0410382	0.38410595	0.5908563	1.0	4980	tags=34%, list=29%, signal=48%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		92	0.24958247	1.0199065	0.44431686	0.62503535	1.0	4646	tags=34%, list=27%, signal=46%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		149	0.22260034	0.973568	0.5247191	0.7265294	1.0	6086	tags=38%, list=35%, signal=57%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		92	0.23584193	0.9668755	0.523753	0.7181821	1.0	5614	tags=41%, list=32%, signal=61%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		168	0.20886198	0.9300758	0.63070077	0.7866859	1.0	2730	tags=20%, list=16%, signal=24%	
