NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	31	-0.5541561	-1.7770717	0.0	0.0054262225	0.009	3962	tags=52%, list=27%, signal=71%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	106	-0.4080861	-1.6050643	0.0031948881	0.038250644	0.119	5778	tags=59%, list=40%, signal=98%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	141	-0.37318048	-1.5065296	0.0031152647	0.0820734	0.338	4220	tags=43%, list=29%, signal=59%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	158	-0.35014725	-1.4230326	0.0061791968	0.15438089	0.663	4390	tags=40%, list=30%, signal=56%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	29	-0.44454977	-1.413667	0.060075093	0.13584477	0.693	5344	tags=62%, list=37%, signal=98%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	75	-0.35591716	-1.3295321	0.06521739	0.25402352	0.933	5179	tags=49%, list=35%, signal=76%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	139	-0.31939954	-1.2892274	0.04261954	0.3083023	0.975	4177	tags=36%, list=29%, signal=50%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	136	-0.31637695	-1.271022	0.06979167	0.3168837	0.983	3758	tags=33%, list=26%, signal=44%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	127	-0.30816272	-1.2475389	0.11473684	0.3416414	0.996	5374	tags=46%, list=37%, signal=72%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	18	-0.4360779	-1.2451879	0.17871222	0.3127705	0.996	1571	tags=28%, list=11%, signal=31%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	148	-0.30400077	-1.24205	0.08376422	0.2923559	0.996	4061	tags=36%, list=28%, signal=49%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	25	-0.40332782	-1.2347009	0.16871922	0.28405133	0.997	2878	tags=28%, list=20%, signal=35%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	84	-0.3188139	-1.2150984	0.14702703	0.30515474	1.0	3764	tags=35%, list=26%, signal=46%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	83	-0.31553718	-1.2045487	0.16612378	0.30534366	1.0	5390	tags=48%, list=37%, signal=76%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	135	-0.28538385	-1.1482768	0.20309278	0.42289084	1.0	5456	tags=42%, list=37%, signal=67%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	126	-0.2862165	-1.1391054	0.22803347	0.4197764	1.0	2468	tags=22%, list=17%, signal=27%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	20	-0.3727124	-1.0918483	0.35917312	0.5228604	1.0	2047	tags=30%, list=14%, signal=35%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	144	-0.2505562	-1.0172709	0.45445135	0.7108101	1.0	2626	tags=21%, list=18%, signal=25%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	64	-0.27874196	-1.0142416	0.46461186	0.68230504	1.0	2814	tags=23%, list=19%, signal=29%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	52	-0.26730004	-0.9597656	0.55619264	0.79265124	1.0	2015	tags=21%, list=14%, signal=24%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		104	-0.23953243	-0.93226546	0.61839324	0.8225968	1.0	5165	tags=40%, list=35%, signal=62%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		146	-0.20625514	-0.83495843	0.81333333	0.99729156	1.0	4390	tags=28%, list=30%, signal=40%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		85	-0.2073195	-0.80036014	0.8281418	1.0	1.0	2468	tags=21%, list=17%, signal=25%	
