NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	47	0.6236411	2.8541398	0.0	0.0	0.0	2220	tags=57%, list=15%, signal=68%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	167	0.50733894	2.7996695	0.0	0.0	0.0	2213	tags=49%, list=15%, signal=57%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	174	0.4745828	2.7580879	0.0	0.0	0.0	2248	tags=48%, list=15%, signal=56%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	170	0.44315344	2.5023913	0.0	0.0	0.0	2694	tags=47%, list=18%, signal=57%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	90	0.4524027	2.3414419	0.0	0.0	0.0	2165	tags=43%, list=15%, signal=51%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	157	0.38784596	2.233816	0.0	0.0	0.0	3410	tags=45%, list=23%, signal=58%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	175	0.3739252	2.1724875	0.0	0.0	0.0	2593	tags=42%, list=18%, signal=51%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	84	0.38082165	1.9254808	0.0	0.0033039057	0.004	2729	tags=48%, list=19%, signal=58%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	118	0.35010776	1.8782465	0.0	0.0029368054	0.004	2995	tags=38%, list=21%, signal=48%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	180	0.2377296	1.4058558	0.0	0.076156616	0.12	2319	tags=31%, list=16%, signal=36%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	128	0.25320452	1.3766211	0.023809524	0.08018711	0.139	2398	tags=31%, list=16%, signal=37%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	88	0.24912558	1.3373321	0.045454547	0.094355255	0.172	1689	tags=22%, list=12%, signal=24%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	78	0.26098272	1.3359234	0.049382716	0.08820842	0.173	1843	tags=27%, list=13%, signal=31%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	52	0.3009807	1.328796	0.060869563	0.08513974	0.18	2738	tags=35%, list=19%, signal=42%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	160	0.23309052	1.3180099	0.0	0.087403834	0.196	2808	tags=33%, list=19%, signal=41%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	154	0.22561617	1.2878621	0.03448276	0.096613035	0.224	3056	tags=38%, list=21%, signal=48%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	119	0.21765716	1.1953354	0.06666667	0.1726014	0.387	1674	tags=21%, list=11%, signal=24%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	155	0.18561463	1.0717969	0.3	0.3712522	0.684	2747	tags=28%, list=19%, signal=35%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	30	0.26087043	1.0519478	0.37016574	0.38975862	0.726	2213	tags=30%, list=15%, signal=35%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	115	0.179376	0.9707953	0.5217391	0.5725064	0.876	2676	tags=28%, list=18%, signal=34%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		156	0.15843974	0.91829944	0.8518519	0.6827369	0.931	2868	tags=28%, list=20%, signal=35%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		136	0.1628793	0.89159733	0.79591835	0.7145441	0.945	2803	tags=29%, list=19%, signal=35%	
