NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	113	-0.44661254	-1.6724365	0.0	0.029120853	0.042	2294	tags=35%, list=18%, signal=42%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	26	-0.54332745	-1.6380782	0.008111239	0.021191472	0.061	3073	tags=58%, list=24%, signal=76%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	108	-0.40969834	-1.5222456	0.0020470829	0.059318114	0.231	2773	tags=33%, list=22%, signal=42%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	133	-0.3960976	-1.4907842	0.005070994	0.0681404	0.326	2342	tags=31%, list=18%, signal=37%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	126	-0.40105772	-1.487068	0.005065856	0.056803647	0.335	3888	tags=44%, list=30%, signal=62%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	133	-0.39569342	-1.482827	0.0030425964	0.049319893	0.348	4363	tags=47%, list=34%, signal=70%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	104	-0.38771123	-1.4383552	0.016528925	0.0712045	0.511	3669	tags=41%, list=28%, signal=57%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	24	-0.48522493	-1.4352422	0.035377357	0.0649449	0.523	3755	tags=46%, list=29%, signal=65%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	23	-0.45146987	-1.3154076	0.11525029	0.21174859	0.946	3863	tags=52%, list=30%, signal=74%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	82	-0.3536108	-1.2758591	0.09394572	0.27506888	0.989	2946	tags=30%, list=23%, signal=39%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	135	-0.32509425	-1.2179265	0.10772358	0.40691096	1.0	4036	tags=41%, list=31%, signal=59%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	47	-0.3604114	-1.2098348	0.18954249	0.39740187	1.0	1850	tags=26%, list=14%, signal=30%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	120	-0.32448292	-1.2020409	0.14242424	0.3900712	1.0	4137	tags=41%, list=32%, signal=60%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	101	-0.32214105	-1.1849473	0.17453799	0.4104106	1.0	3599	tags=35%, list=28%, signal=48%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	136	-0.29405594	-1.11451	0.25583756	0.6157862	1.0	4349	tags=37%, list=34%, signal=55%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	68	-0.31243712	-1.095542	0.33333334	0.64512306	1.0	4344	tags=37%, list=34%, signal=55%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	100	-0.2864425	-1.0469745	0.40829015	0.7816355	1.0	4317	tags=39%, list=34%, signal=58%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	79	-0.2898357	-1.038165	0.43195876	0.76940686	1.0	1891	tags=24%, list=15%, signal=28%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	125	-0.27744815	-1.0277799	0.44219068	0.7643737	1.0	5231	tags=47%, list=41%, signal=79%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	17	-0.3626744	-0.9956154	0.50121653	0.8331532	1.0	3152	tags=47%, list=24%, signal=62%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		72	-0.2796198	-0.992743	0.5	0.80248004	1.0	6205	tags=56%, list=48%, signal=107%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		73	-0.2684507	-0.96334016	0.54791665	0.85313386	1.0	4965	tags=41%, list=39%, signal=66%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		115	-0.24719466	-0.9211949	0.6522634	0.9310057	1.0	4116	tags=37%, list=32%, signal=53%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		70	-0.24666035	-0.866705	0.7216931	1.0	1.0	2254	tags=21%, list=18%, signal=26%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		143	-0.22247633	-0.8456279	0.8034448	1.0	1.0	3605	tags=29%, list=28%, signal=40%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		26	-0.26651123	-0.8039087	0.78132117	1.0	1.0	2886	tags=27%, list=22%, signal=35%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		132	-0.19986357	-0.7462848	0.92113245	1.0	1.0	3723	tags=24%, list=29%, signal=34%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		158	-0.18832697	-0.72096956	0.9515641	1.0	1.0	2959	tags=21%, list=23%, signal=27%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		76	-0.19444866	-0.70074975	0.92411643	1.0	1.0	3666	tags=30%, list=28%, signal=42%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		142	-0.1691774	-0.6377144	0.98785424	1.0	1.0	3824	tags=27%, list=30%, signal=39%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		57	-0.17668287	-0.6133503	0.96555436	1.0	1.0	4229	tags=30%, list=33%, signal=44%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		48	-0.17358507	-0.58553594	0.988121	1.0	1.0	3669	tags=25%, list=28%, signal=35%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		120	-0.15515651	-0.578491	0.993921	0.9889088	1.0	3669	tags=23%, list=28%, signal=32%	
