NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	46	0.66360044	3.1130452	0.0	0.0	0.0	2043	tags=63%, list=16%, signal=75%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	161	0.5152376	3.0419478	0.0	0.0	0.0	1696	tags=49%, list=13%, signal=56%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	155	0.53094864	3.0281904	0.0	0.0	0.0	2425	tags=57%, list=19%, signal=70%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	166	0.500265	2.9856992	0.0	0.0	0.0	1713	tags=46%, list=13%, signal=53%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	145	0.41487092	2.4013603	0.0	0.0	0.0	3038	tags=48%, list=24%, signal=62%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	84	0.4285619	2.3082247	0.0	0.0	0.0	1540	tags=38%, list=12%, signal=43%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	102	0.41504398	2.2843416	0.0	0.0	0.0	2439	tags=45%, list=19%, signal=55%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	165	0.3612578	2.2565863	0.0	0.0	0.0	1778	tags=36%, list=14%, signal=41%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	111	0.32735845	1.7908715	0.0	0.005384127	0.007	1935	tags=35%, list=15%, signal=41%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	143	0.22294329	1.4619085	0.0	0.035809524	0.045	2009	tags=30%, list=16%, signal=35%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	166	0.24414584	1.4243131	0.0	0.039535936	0.057	1502	tags=30%, list=12%, signal=34%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	103	0.22401907	1.328951	0.0	0.07273652	0.109	1892	tags=26%, list=15%, signal=30%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	77	0.24200125	1.2739373	0.023809524	0.092088334	0.151	2285	tags=40%, list=18%, signal=49%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	103	0.21202844	1.1449637	0.07692308	0.20681201	0.317	1630	tags=25%, list=13%, signal=29%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	38	0.22918738	1.0333817	0.3814433	0.41729742	0.563	2631	tags=42%, list=20%, signal=53%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	52	0.21247345	0.94489557	0.6229508	0.58740395	0.711	2260	tags=31%, list=18%, signal=37%	
