Gene stable ID	Gene name	UniProtKB Gene Name ID
ENSG00000210049	MT-TF	
ENSG00000211459	MT-RNR1	
ENSG00000210077	MT-TV	
ENSG00000210082	MT-RNR2	
ENSG00000209082	MT-TL1	
ENSG00000198888	MT-ND1	P03886
ENSG00000198888	MT-ND1	U5Z754
ENSG00000210100	MT-TI	
ENSG00000210107	MT-TQ	
ENSG00000210112	MT-TM	
ENSG00000198763	MT-ND2	P03891
ENSG00000198763	MT-ND2	A0A1X7RBG6
ENSG00000198763	MT-ND2	Q7GXY9
ENSG00000210117	MT-TW	
ENSG00000210127	MT-TA	
ENSG00000210135	MT-TN	
ENSG00000210140	MT-TC	
ENSG00000210144	MT-TY	
ENSG00000198804	MT-CO1	P00395
ENSG00000198804	MT-CO1	U5YWV7
ENSG00000198804	MT-CO1	A0A1X7RBG2
ENSG00000210151	MT-TS1	
ENSG00000210154	MT-TD	
ENSG00000198712	MT-CO2	P00403
ENSG00000198712	MT-CO2	A0A1X7RBF7
ENSG00000198712	MT-CO2	U5Z487
ENSG00000210156	MT-TK	
ENSG00000228253	MT-ATP8	P03928
ENSG00000228253	MT-ATP8	U5YV54
ENSG00000228253	MT-ATP8	A0A1X7RCP4
ENSG00000198899	MT-ATP6	P00846
ENSG00000198899	MT-ATP6	Q0ZFE3
ENSG00000198938	MT-CO3	P00414
ENSG00000198938	MT-CO3	Q7GIM7
ENSG00000198938	MT-CO3	A0A1X7RBF0
ENSG00000210164	MT-TG	
ENSG00000198840	MT-ND3	P03897
ENSG00000198840	MT-ND3	Q7GXZ5
ENSG00000210174	MT-TR	
ENSG00000212907	MT-ND4L	P03901
ENSG00000212907	MT-ND4L	Q7GXZ4
ENSG00000212907	MT-ND4L	A0A1X7RC16
ENSG00000198886	MT-ND4	P03905
ENSG00000198886	MT-ND4	H9EC08
ENSG00000198886	MT-ND4	A0A1X7RBN5
ENSG00000210176	MT-TH	
ENSG00000210184	MT-TS2	
ENSG00000210191	MT-TL2	
ENSG00000198786	MT-ND5	P03915
ENSG00000198786	MT-ND5	U5ZC31
ENSG00000198695	MT-ND6	P03923
ENSG00000198695	MT-ND6	U5Z977
ENSG00000198695	MT-ND6	A0A1X7RCR6
ENSG00000210194	MT-TE	
ENSG00000198727	MT-CYB	P00156
