,Gene Name,Gene Symbol,Chromosome,Gene Start,Gene End,Strand,Gene Length,Chromosome Length,Gene Location,Gene Sites,Transcript Sites,Gene Regulation,Transcript Regulation,Regulation Ratio,Gene Regulation Group,Isoform Count,Transcript Abundance,Protein Expression
0,ENSG00000211459,MT-RNR1,0,648,1601,1,953,16569,0.06786770474983403,1,1,0.001049317943336831,0.001049317943336831,1.0,Neutral,1,0.0,
1,ENSG00000210082,MT-RNR2,0,1671,3229,1,1558,16569,0.1478664976763836,1,1,0.0006418485237483953,0.0006418485237483953,1.0,Neutral,1,0.0,
2,ENSG00000198888,MT-ND1,0,3307,4262,1,955,16569,0.22840847365562195,1,1,0.0010471204188481676,0.0010471204188481676,1.0,Neutral,1,0.0,
3,ENSG00000210100,MT-TI,0,4263,4331,1,68,16569,0.2593397308226206,1,1,0.014705882352941176,0.014705882352941176,1.0,Neutral,1,0.0,
4,ENSG00000198763,MT-ND2,0,4470,5511,1,1041,16569,0.30119500271591526,1,1,0.0009606147934678194,0.0009606147934678194,1.0,Neutral,1,0.0,
5,ENSG00000210140,MT-TC,0,5761,5826,-1,65,16569,0.3496590017502565,1,1,0.015384615384615385,0.015384615384615385,1.0,Neutral,1,0.0,
6,ENSG00000198804,MT-CO1,0,5904,7445,1,1541,16569,0.4028305872412336,1,3,0.0006489292667099286,0.001946787800129786,3.0,Predominantly Post-Transcriptional,1,0.0,
7,ENSG00000198899,MT-ATP6,0,8527,9207,1,680,16569,0.5351560142434667,1,1,0.0014705882352941176,0.0014705882352941176,1.0,Neutral,1,0.0,
8,ENSG00000198938,MT-CO3,0,9207,9990,1,783,16569,0.5793047256925584,1,6,0.001277139208173691,0.007662835249042145,6.0,Predominantly Post-Transcriptional,1,0.0,
9,ENSG00000198786,MT-ND5,0,12337,14148,1,1811,16569,0.7992335083589837,1,9,0.0005521811154058532,0.004969630038652678,9.0,Predominantly Post-Transcriptional,1,0.0,
10,ENSG00000198695,MT-ND6,0,14149,14673,-1,524,16569,0.8697567746997404,1,3,0.0019083969465648854,0.0057251908396946565,3.0,Predominantly Post-Transcriptional,1,0.0,
11,ENSG00000198727,MT-CYB,0,14747,15887,1,1140,16569,0.9244372020037419,1,1,0.0008771929824561404,0.0008771929824561404,1.0,Neutral,1,0.0,
12,ENSG00000234620,PUDPP1,24,15348662,15456074,-1,107412,57227415,0.2691431720269035,2,1,1.8619893494209212e-05,9.309946747104606e-06,0.5,Predominantly Transcriptional,1,0.0,
13,ENSG00000114374,USP9Y,24,12537650,12860839,1,323189,57227415,0.22190840701087058,14,2,4.331830600670196e-05,6.188329429528851e-06,0.14285714285714285,Predominantly Transcriptional,5,80.0,
14,ENSG00000236477,RPS24P1,24,12244752,12245457,1,705,57227415,0.21397269997255686,1,1,0.0014184397163120568,0.0014184397163120568,1.0,Neutral,1,0.0,
15,ENSG00000227447,XGY1,24,12440046,12507369,-1,67323,57227415,0.21796734135204254,4,1,5.9415058746639334e-05,1.4853764686659834e-05,0.25,Predominantly Transcriptional,1,0.0,
16,ENSG00000229236,TTTY10,24,20464916,20575519,-1,110603,57227415,0.35857320307059126,6,1,5.424807645362242e-05,9.041346075603735e-06,0.16666666666666666,Predominantly Transcriptional,2,1.5,
17,ENSG00000176728,TTTY14,24,18772706,19077416,-1,304710,57227415,0.3306992112084741,9,2,2.9536280397755243e-05,6.5636178661678315e-06,0.2222222222222222,Predominantly Transcriptional,6,1.5,
18,ENSG00000099725,PRKY,24,7273972,7381548,1,107576,57227415,0.12804632185465656,9,2,8.366178329738976e-05,1.8591507399419944e-05,0.2222222222222222,Predominantly Transcriptional,4,102.5,
19,ENSG00000237701,ATP5PFP1,24,6900753,6901372,1,619,57227415,0.12059014896968524,1,1,0.0016155088852988692,0.0016155088852988692,1.0,Neutral,1,0.0,
20,ENSG00000129824,RPS4Y1,24,2841602,2932000,1,90398,57227415,0.05044437181025912,11,2,0.00012168410805548795,2.212438328281599e-05,0.18181818181818182,Predominantly Transcriptional,4,26.5,
21,ENSG00000067048,DDX3Y,24,12904108,12920478,1,16370,57227415,0.22563124684209482,4,2,0.0002443494196701283,0.00012217470983506414,0.5,Predominantly Transcriptional,9,962.0,
22,ENSG00000183878,UTY,24,13234577,13480673,-1,246096,57227415,0.2334130416339791,4,4,1.625381964761719e-05,1.625381964761719e-05,1.0,Neutral,15,0.0,
23,ENSG00000241859,ANOS2P,24,13703902,13915824,1,211922,57227415,0.24131551285341124,3,2,1.4156151791696945e-05,9.437434527797963e-06,0.6666666666666666,Predominantly Transcriptional,3,0.0,
24,ENSG00000099721,AMELY,24,6865918,6911752,-1,45834,57227415,0.12037648389325291,4,1,8.727145786970371e-05,2.1817864467425928e-05,0.25,Predominantly Transcriptional,2,0.0,
25,ENSG00000165246,NLGN4Y,24,14522573,14845654,1,323081,57227415,0.25659229060058014,10,1,3.09519903677406e-05,3.0951990367740597e-06,0.1,Predominantly Transcriptional,9,208.0,
26,ENSG00000215580,BCORP1,24,19455431,19567092,-1,111661,57227415,0.3409425622317555,3,1,2.6867035043569374e-05,8.955678347856458e-06,0.3333333333333333,Predominantly Transcriptional,3,0.0,
27,ENSG00000206159,GYG2P1,24,12088010,12421587,-1,333577,57227415,0.21414209430916983,12,1,3.597370322294403e-05,2.997808601912002e-06,0.08333333333333333,Predominantly Transcriptional,5,28.0,
28,ENSG00000131002,TXLNGY,24,19567313,19606274,1,38961,57227415,0.34226241915697225,4,1,0.000102666769333436,2.5666692333359e-05,0.25,Predominantly Transcriptional,14,594.0,
29,ENSG00000158270,COLEC12,18,316737,500722,-1,183985,80373285,0.0050853900024118714,20,2,0.00010870451395494198,1.0870451395494197e-05,0.1,Predominantly Transcriptional,2,5.0,
30,ENSG00000266441,ARHGAP28-AS1,18,6728821,6729862,-1,1041,80373285,0.08372609754596941,2,1,0.0019212295869356388,0.0009606147934678194,0.5,Predominantly Transcriptional,1,0.0,
31,ENSG00000264575,LINC00526,18,5236724,5238598,-1,1874,80373285,0.06516669064851587,5,1,0.0026680896478121665,0.0005336179295624333,0.2,Predominantly Transcriptional,1,148.0,
32,ENSG00000255112,CHMP1B,18,11851413,11854444,1,3031,80373285,0.14747348574840508,3,6,0.0009897723523589574,0.001979544704717915,2.0,Predominantly Post-Transcriptional,2,496.0,
33,ENSG00000141401,IMPA2,18,11981025,12030877,1,49852,80373285,0.14937738329346623,13,4,0.00026077188477894567,8.023750300890636e-05,0.3076923076923077,Predominantly Transcriptional,11,1210.5,
34,ENSG00000170579,DLGAP1,18,3496032,4455307,-1,959275,80373285,0.04946506168063182,62,13,6.463214406713404e-05,1.3551901175366814e-05,0.20967741935483872,Predominantly Transcriptional,22,1.0,
35,ENSG00000168502,MTCL1,18,8705661,8832778,1,127117,80373285,0.10910614764594977,16,34,0.00012586829456327634,0.00026747012594696224,2.125,Predominantly Post-Transcriptional,16,282.5,
36,ENSG00000168461,RAB31,18,9708275,9862551,1,154276,80373285,0.12174957139054352,30,25,0.00019445668801368974,0.00016204724001140812,0.8333333333333334,Predominantly Transcriptional,12,25.5,
37,ENSG00000267336,EIF4A2P1,18,12912844,12913906,1,1062,80373285,0.16066750288979728,2,1,0.0018832391713747645,0.0009416195856873823,0.5,Predominantly Transcriptional,1,10.5,
