,Gene Name,Gene Symbol,Chromosome,Gene Start,Gene End,Strand,Gene Length,Chromosome Length,Gene Location,Gene Sites,Transcript Sites,Gene Regulation,Transcript Regulation,Regulation Ratio,Gene Regulation Group,Isoform Count,Transcript Abundance,Protein Expression
0,ENSG00000211459,MT-RNR1,0,648,1601,1,953,16569,0.067867704749834,1,1,0.0010493179433368,0.0010493179433368,1.0,Neutral,1,0.0,
1,ENSG00000210082,MT-RNR2,0,1671,3229,1,1558,16569,0.1478664976763836,1,1,0.0006418485237483,0.0006418485237483,1.0,Neutral,1,0.0,
2,ENSG00000198888,MT-ND1,0,3307,4262,1,955,16569,0.2284084736556219,1,1,0.0010471204188481,0.0010471204188481,1.0,Neutral,1,0.0,1.0072942886445768
3,ENSG00000210100,MT-TI,0,4263,4331,1,68,16569,0.2593397308226206,1,1,0.0147058823529411,0.0147058823529411,1.0,Neutral,1,0.0,
4,ENSG00000198763,MT-ND2,0,4470,5511,1,1041,16569,0.3011950027159152,1,1,0.0009606147934678,0.0009606147934678,1.0,Neutral,1,0.0,
5,ENSG00000198786,MT-ND5,0,12337,14148,1,1811,16569,0.7992335083589837,1,9,0.0005521811154058,0.0049696300386526,9.0,Predominantly Post-Transcriptional,1,0.0,1.4616389305972388
6,ENSG00000198727,MT-CYB,0,14747,15887,1,1140,16569,0.924437202003742,1,1,0.0008771929824561,0.0008771929824561,1.0,Neutral,1,0.0,
7,ENSG00000234620,PUDPP1,24,15348662,15456074,-1,107412,57227415,0.2691431720269035,2,1,1.861989349420921e-05,9.309946747104606e-06,0.5,Predominantly Transcriptional,1,0.0,
8,ENSG00000114374,USP9Y,24,12537650,12860839,1,323189,57227415,0.2219084070108705,14,2,4.331830600670196e-05,6.188329429528851e-06,0.1428571428571428,Predominantly Transcriptional,5,80.0,
9,ENSG00000236477,RPS24P1,24,12244752,12245457,1,705,57227415,0.2139726999725568,1,1,0.001418439716312,0.001418439716312,1.0,Neutral,1,0.0,
10,ENSG00000227447,XGY1,24,12440046,12507369,-1,67323,57227415,0.2179673413520425,4,1,5.941505874663933e-05,1.4853764686659834e-05,0.25,Predominantly Transcriptional,1,0.0,
11,ENSG00000229236,TTTY10,24,20464916,20575519,-1,110603,57227415,0.3585732030705912,6,1,5.424807645362242e-05,9.041346075603737e-06,0.1666666666666666,Predominantly Transcriptional,2,1.5,
12,ENSG00000176728,TTTY14,24,18772706,19077416,-1,304710,57227415,0.3306992112084741,9,2,2.9536280397755243e-05,6.563617866167832e-06,0.2222222222222222,Predominantly Transcriptional,6,1.5,
13,ENSG00000099725,PRKY,24,7273972,7381548,1,107576,57227415,0.1280463218546565,9,2,8.366178329738976e-05,1.8591507399419944e-05,0.2222222222222222,Predominantly Transcriptional,4,102.5,
14,ENSG00000129824,RPS4Y1,24,2841602,2932000,1,90398,57227415,0.0504443718102591,11,2,0.0001216841080554,2.212438328281599e-05,0.1818181818181818,Predominantly Transcriptional,4,26.5,5.661124377570209
15,ENSG00000067048,DDX3Y,24,12904108,12920478,1,16370,57227415,0.2256312468420948,4,2,0.0002443494196701,0.000122174709835,0.5,Predominantly Transcriptional,9,962.0,8.644646735547528
16,ENSG00000183878,UTY,24,13234577,13480673,-1,246096,57227415,0.2334130416339791,4,4,1.625381964761719e-05,1.625381964761719e-05,1.0,Neutral,15,0.0,
17,ENSG00000241859,ANOS2P,24,13703902,13915824,1,211922,57227415,0.2413155128534112,3,2,1.4156151791696943e-05,9.437434527797964e-06,0.6666666666666666,Predominantly Transcriptional,3,0.0,
18,ENSG00000099721,AMELY,24,6865918,6911752,-1,45834,57227415,0.1203764838932529,4,1,8.727145786970371e-05,2.1817864467425928e-05,0.25,Predominantly Transcriptional,2,0.0,
19,ENSG00000165246,NLGN4Y,24,14522573,14845654,1,323081,57227415,0.2565922906005801,10,1,3.09519903677406e-05,3.09519903677406e-06,0.1,Predominantly Transcriptional,9,208.0,
20,ENSG00000215580,BCORP1,24,19455431,19567092,-1,111661,57227415,0.3409425622317555,3,1,2.6867035043569374e-05,8.955678347856458e-06,0.3333333333333333,Predominantly Transcriptional,3,0.0,
21,ENSG00000206159,GYG2P1,24,12088010,12421587,-1,333577,57227415,0.2141420943091698,12,1,3.597370322294403e-05,2.997808601912002e-06,0.0833333333333333,Predominantly Transcriptional,5,28.0,
22,ENSG00000131002,TXLNGY,24,19567313,19606274,1,38961,57227415,0.3422624191569722,3,1,7.7000077000077e-05,2.5666692333359e-05,0.3333333333333333,Predominantly Transcriptional,14,594.0,
23,ENSG00000158270,COLEC12,18,316737,500722,-1,183985,80373285,0.0050853900024118,20,2,0.0001087045139549,1.0870451395494196e-05,0.1,Predominantly Transcriptional,2,5.0,
24,ENSG00000266441,ARHGAP28-AS1,18,6728821,6729862,-1,1041,80373285,0.0837260975459694,2,1,0.0019212295869356,0.0009606147934678,0.5,Predominantly Transcriptional,1,0.0,
25,ENSG00000264575,LINC00526,18,5236724,5238598,-1,1874,80373285,0.0651666906485158,4,1,0.0021344717182497,0.0005336179295624,0.25,Predominantly Transcriptional,1,148.0,
26,ENSG00000255112,CHMP1B,18,11851413,11854444,1,3031,80373285,0.147473485748405,3,6,0.0009897723523589,0.0019795447047179,2.0,Predominantly Post-Transcriptional,2,496.0,0.962207598604165
27,ENSG00000141401,IMPA2,18,11981025,12030877,1,49852,80373285,0.1493773832934662,12,4,0.0002407125090267,8.023750300890636e-05,0.3333333333333333,Predominantly Transcriptional,11,1210.5,1.3186529756348837
28,ENSG00000170579,DLGAP1,18,3496032,4455307,-1,959275,80373285,0.0494650616806318,62,13,6.463214406713404e-05,1.3551901175366814e-05,0.2096774193548387,Predominantly Transcriptional,22,1.0,0.33661655396863305
29,ENSG00000168502,MTCL1,18,8705661,8832778,1,127117,80373285,0.1091061476459497,15,34,0.000118001526153,0.0002674701259469,2.2666666666666666,Predominantly Post-Transcriptional,16,282.5,0.6885302505447354
30,ENSG00000168461,RAB31,18,9708275,9862551,1,154276,80373285,0.1217495713905435,30,25,0.0001944566880136,0.0001620472400114,0.8333333333333334,Predominantly Transcriptional,12,25.5,
31,ENSG00000267336,EIF4A2P1,18,12912844,12913906,1,1062,80373285,0.1606675028897972,1,1,0.0009416195856873,0.0009416195856873,1.0,Neutral,1,10.5,
32,ENSG00000260302,LINC01882,18,12739490,12776140,-1,36650,80373285,0.1587320339090283,8,2,0.0002182810368349,5.457025920873124e-05,0.25,Predominantly Transcriptional,1,3.5,
33,ENSG00000267165,CHMP1B-AS1,18,11851414,11852751,-1,1337,80373285,0.1474629598628449,3,6,0.0022438294689603,0.0044876589379207,2.0,Predominantly Post-Transcriptional,1,0.0,
34,ENSG00000176105,YES1,18,721588,812546,-1,90958,80373285,0.0095438055070164,9,3,9.894676663954792e-05,3.298225554651597e-05,0.3333333333333333,Predominantly Transcriptional,5,2853.0,
35,ENSG00000166974,MAPRE2,18,34976928,35143470,1,166542,80373285,0.4362170713813675,18,26,0.0001080808444716,0.0001561167753479,1.4444444444444444,Predominantly Post-Transcriptional,13,1751.0,
36,ENSG00000128789,PSMG2,18,12658043,12725740,1,67697,80373285,0.1579118173407992,9,11,0.0001329453299259,0.0001624887365762,1.2222222222222223,Predominantly Post-Transcriptional,10,884.5,0.7622681568277376
