,Gene Name,Gene Symbol,Chromosome,Gene Start,Gene End,Strand,Gene Length,Chromosome Length,Gene Location,Gene Sites,Transcript Sites,Gene Regulation,Transcript Regulation,Regulation Ratio,Gene Regulation Group,Isoform Count,Transcript Abundance,Protein Expression
0,ENSG00000211459,MT-RNR1,0,648,1601,1,953,16569,0.06786770474983403,1,1,0.001049317943336831,0.001049317943336831,1.0,Neutral,1,0.0,
1,ENSG00000210082,MT-RNR2,0,1671,3229,1,1558,16569,0.1478664976763836,1,1,0.0006418485237483953,0.0006418485237483953,1.0,Neutral,1,0.0,
2,ENSG00000198888,MT-ND1,0,3307,4262,1,955,16569,0.22840847365562195,1,1,0.0010471204188481676,0.0010471204188481676,1.0,Neutral,1,0.0,
3,ENSG00000198763,MT-ND2,0,4470,5511,1,1041,16569,0.30119500271591526,1,3,0.0009606147934678194,0.002881844380403458,3.0,Predominantly Post-Transcriptional,1,0.0,
4,ENSG00000210140,MT-TC,0,5761,5826,-1,65,16569,0.3496590017502565,1,1,0.015384615384615385,0.015384615384615385,1.0,Neutral,1,0.0,
5,ENSG00000198804,MT-CO1,0,5904,7445,1,1541,16569,0.4028305872412336,1,4,0.0006489292667099286,0.0025957170668397143,4.0,Predominantly Post-Transcriptional,1,0.0,
6,ENSG00000210154,MT-TD,0,7518,7585,1,67,16569,0.45576075804212685,1,1,0.014925373134328358,0.014925373134328358,1.0,Neutral,1,0.0,
7,ENSG00000198899,MT-ATP6,0,8527,9207,1,680,16569,0.5351560142434667,1,2,0.0014705882352941176,0.0029411764705882353,2.0,Predominantly Post-Transcriptional,1,0.0,
8,ENSG00000198938,MT-CO3,0,9207,9990,1,783,16569,0.5793047256925584,1,1,0.001277139208173691,0.001277139208173691,1.0,Neutral,1,0.0,
9,ENSG00000198786,MT-ND5,0,12337,14148,1,1811,16569,0.7992335083589837,2,1,0.0011043622308117063,0.0005521811154058532,0.5,Predominantly Transcriptional,1,0.0,
10,ENSG00000198695,MT-ND6,0,14149,14673,-1,524,16569,0.8697567746997404,2,1,0.003816793893129771,0.0019083969465648854,0.5,Predominantly Transcriptional,1,0.0,
11,ENSG00000210194,MT-TE,0,14674,14742,-1,68,16569,0.8876818154384695,1,1,0.014705882352941176,0.014705882352941176,1.0,Neutral,1,0.0,
12,ENSG00000198727,MT-CYB,0,14747,15887,1,1140,16569,0.9244372020037419,2,3,0.0017543859649122807,0.002631578947368421,1.5,Predominantly Post-Transcriptional,1,0.0,
13,ENSG00000227447,XGY1,24,12440046,12507369,-1,67323,57227415,0.21796734135204254,1,1,1.4853764686659834e-05,1.4853764686659834e-05,1.0,Neutral,1,0.0,
14,ENSG00000158270,COLEC12,18,316737,500722,-1,183985,80373285,0.0050853900024118714,22,2,0.00011957496535043618,1.0870451395494197e-05,0.09090909090909091,Predominantly Transcriptional,2,1.0,
15,ENSG00000264964,TWSG1-DT,18,9310522,9334445,-1,23923,80373285,0.11598982796335872,5,1,0.000209003887472307,4.18007774944614e-05,0.2,Predominantly Transcriptional,1,0.5,
16,ENSG00000265514,LINC01892,18,5081171,5098780,1,17609,80373285,0.06332919576448816,3,1,0.00017036742574819694,5.678914191606565e-05,0.3333333333333333,Predominantly Transcriptional,2,1.0,
17,ENSG00000264575,LINC00526,18,5236724,5238598,-1,1874,80373285,0.06516669064851587,4,2,0.0021344717182497333,0.0010672358591248667,0.5,Predominantly Transcriptional,1,46.0,
18,ENSG00000255112,CHMP1B,18,11851413,11854444,1,3031,80373285,0.14747348574840508,4,5,0.0013196964698119432,0.001649620587264929,1.25,Predominantly Post-Transcriptional,2,264.5,
19,ENSG00000141401,IMPA2,18,11981025,12030877,1,49852,80373285,0.14937738329346623,2,5,4.011875150445318e-05,0.00010029687876113296,2.5,Predominantly Post-Transcriptional,11,213.5,
20,ENSG00000170579,DLGAP1,18,3496032,4455307,-1,959275,80373285,0.04946506168063182,88,56,9.173594641786766e-05,5.837742044773397e-05,0.6363636363636364,Predominantly Transcriptional,22,4.0,
21,ENSG00000168502,MTCL1,18,8705661,8832778,1,127117,80373285,0.10910614764594977,13,34,0.00010226798933266203,0.00026747012594696224,2.6153846153846154,Predominantly Post-Transcriptional,16,222.5,
22,ENSG00000168461,RAB31,18,9708275,9862551,1,154276,80373285,0.12174957139054352,33,25,0.00021390235681505873,0.00016204724001140812,0.7575757575757576,Predominantly Transcriptional,12,1673.0,
23,ENSG00000132204,LINC00470,18,1254383,1408344,-1,153961,80373285,0.016564751583812955,11,2,7.144666506452933e-05,1.2990302739005332e-05,0.18181818181818182,Predominantly Transcriptional,11,284.5,
24,ENSG00000260302,LINC01882,18,12739490,12776140,-1,36650,80373285,0.15873203390902835,8,1,0.00021828103683492497,2.728512960436562e-05,0.125,Predominantly Transcriptional,1,0.0,
25,ENSG00000267165,CHMP1B-AS1,18,11851414,11852751,-1,1337,80373285,0.14746295986284497,4,4,0.0029917726252804786,0.0029917726252804786,1.0,Neutral,1,0.0,
26,ENSG00000176105,YES1,18,721588,812546,-1,90958,80373285,0.009543805507016417,18,5,0.00019789353327909583,5.4970425910859956e-05,0.2777777777777778,Predominantly Transcriptional,5,3879.0,
27,ENSG00000166974,MAPRE2,18,34976928,35143470,1,166542,80373285,0.43621707138136756,32,14,0.00019214372350518188,8.406287903351707e-05,0.4375,Predominantly Transcriptional,13,1112.0,
28,ENSG00000263627,PPP4R1-AS1,18,9615264,9619363,1,4099,80373285,0.1196580866391115,6,1,0.001463771651622347,0.00024396194193705782,0.16666666666666666,Predominantly Transcriptional,1,2.0,
29,ENSG00000101280,ANGPT4,20,869900,916334,-1,46434,64444167,0.013858771733367272,5,1,0.00010767971744842142,2.1535943489684284e-05,0.2,Predominantly Transcriptional,1,0.0,
30,ENSG00000128789,PSMG2,18,12658043,12725740,1,67697,80373285,0.15791181734079926,9,9,0.00013294532992599376,0.00013294532992599376,1.0,Neutral,10,1135.5,
31,ENSG00000089012,SIRPG,20,1629152,1657779,-1,28627,64444167,0.025502160653267502,1,1,3.4932057148845494e-05,3.4932057148845494e-05,1.0,Neutral,7,0.0,
32,ENSG00000171984,SHLD1,20,5750393,5864395,1,114002,64444167,0.09011512244389783,17,3,0.00014912019087384433,2.6315327801266645e-05,0.17647058823529413,Predominantly Transcriptional,4,144.5,
33,ENSG00000224141,MIR548XHG,21,18561265,18760320,-1,199055,46709983,0.39950330318039295,1,2,5.0237371580718896e-06,1.0047474316143779e-05,2.0,Predominantly Post-Transcriptional,3,43.5,
34,ENSG00000125827,TMX4,20,7977346,8019805,-1,42459,64444167,0.1241163610664717,1,1,2.355213264561106e-05,2.355213264561106e-05,1.0,Neutral,4,1263.0,
35,ENSG00000149346,SLX4IP,20,10435305,10636829,1,201524,64444167,0.16349139868624574,29,11,0.00014390345566781128,5.458406939123876e-05,0.3793103448275862,Predominantly Transcriptional,2,366.0,
36,ENSG00000178591,DEFB125,20,87250,97094,1,9844,64444167,0.0014302613299354153,2,1,0.0002031694433157253,0.00010158472165786265,0.5,Predominantly Transcriptional,2,0.0,
37,ENSG00000088812,ATRN,20,3471018,3651118,1,180100,64444167,0.05525818962017152,9,21,4.997223764575236e-05,0.00011660188784008885,2.3333333333333335,Predominantly Post-Transcriptional,2,687.0,
