,Gene Name,Gene Symbol,Chromosome,Gene Start,Gene End,Strand,Gene Length,Chromosome Length,Gene Location,Gene Sites,Transcript Sites,Gene Regulation,Transcript Regulation,Regulation Ratio,Gene Regulation Group,Isoform Count,Transcript Abundance,Protein Expression
0,ENSG00000211459,MT-RNR1,0,648,1601,1,953,16569,0.067867704749834,1,1,0.0010493179433368,0.0010493179433368,1,Neutral,1,0,
1,ENSG00000210082,MT-RNR2,0,1671,3229,1,1558,16569,0.147866497676384,1,1,0.0006418485237483,0.0006418485237483,1,Neutral,1,0,
2,ENSG00000198888,MT-ND1,0,3307,4262,1,955,16569,0.228408473655622,1,1,0.0010471204188481,0.0010471204188481,1,Neutral,1,0,2.48093487027407
3,ENSG00000198763,MT-ND2,0,4470,5511,1,1041,16569,0.301195002715915,1,3,0.0009606147934678,0.0028818443804034,3,Predominantly Post-Transcriptional,1,0,
4,ENSG00000198786,MT-ND5,0,12337,14148,1,1811,16569,0.799233508358984,2,1,0.0011043622308117,0.0005521811154058,0.5,Predominantly Transcriptional,1,0,1.18052891131691
5,ENSG00000198695,MT-ND6,0,14149,14673,-1,524,16569,0.86975677469974,1,1,0.0019083969465648,0.0019083969465648,1,Neutral,1,0,
6,ENSG00000198727,MT-CYB,0,14747,15887,1,1140,16569,0.924437202003742,2,3,0.0017543859649122,0.0026315789473684,1.5,Predominantly Post-Transcriptional,1,0,0.966782748067164
7,ENSG00000227447,XGY1,24,12440046,12507369,-1,67323,57227415,0.217967341352043,1,1,1.48537646866598E-05,1.48537646866598E-05,1,Neutral,1,0,
8,ENSG00000158270,COLEC12,18,316737,500722,-1,183985,80373285,0.0050853900024118,22,2,0.0001195749653504,1.08704513954942E-05,0.0909090909090909,Predominantly Transcriptional,2,1,1.09587803423333
9,ENSG00000264964,TWSG1-DT,18,9310522,9334445,-1,23923,80373285,0.115989827963359,4,1,0.0001672031099778,4.18007774944614E-05,0.25,Predominantly Transcriptional,1,0.5,
10,ENSG00000265514,LINC01892,18,5081171,5098780,1,17609,80373285,0.0633291957644882,2,1,0.0001135782838321,5.67891419160657E-05,0.5,Predominantly Transcriptional,2,1,
11,ENSG00000264575,LINC00526,18,5236724,5238598,-1,1874,80373285,0.0651666906485159,3,2,0.0016008537886873,0.0010672358591248,0.666666666666667,Predominantly Transcriptional,1,46,
12,ENSG00000255112,CHMP1B,18,11851413,11854444,1,3031,80373285,0.147473485748405,4,5,0.0013196964698119,0.0016496205872649,1.25,Predominantly Post-Transcriptional,2,264.5,1.01683931162394
13,ENSG00000141401,IMPA2,18,11981025,12030877,1,49852,80373285,0.149377383293466,2,5,4.01187515044532E-05,0.0001002968787611,2.5,Predominantly Post-Transcriptional,11,213.5,0.454112218266653
14,ENSG00000170579,DLGAP1,18,3496032,4455307,-1,959275,80373285,0.0494650616806318,88,56,9.17359464178677E-05,5.8377420447734E-05,0.636363636363636,Predominantly Transcriptional,22,4,
15,ENSG00000168502,MTCL1,18,8705661,8832778,1,127117,80373285,0.10910614764595,12,34,9.44012209224573E-05,0.0002674701259469,2.83333333333333,Predominantly Post-Transcriptional,16,222.5,0.488270048914638
16,ENSG00000168461,RAB31,18,9708275,9862551,1,154276,80373285,0.121749571390544,31,25,0.0002009385776141,0.0001620472400114,0.806451612903226,Predominantly Transcriptional,12,1673,
17,ENSG00000132204,LINC00470,18,1254383,1408344,-1,153961,80373285,0.016564751583813,11,2,7.14466650645293E-05,1.29903027390053E-05,0.181818181818182,Predominantly Transcriptional,11,284.5,
18,ENSG00000260302,LINC01882,18,12739490,12776140,-1,36650,80373285,0.158732033909028,8,1,0.0002182810368349,2.72851296043656E-05,0.125,Predominantly Transcriptional,1,0,
19,ENSG00000267165,CHMP1B-AS1,18,11851414,11852751,-1,1337,80373285,0.147462959862845,4,4,0.0029917726252804,0.0029917726252804,1,Neutral,1,0,
20,ENSG00000176105,YES1,18,721588,812546,-1,90958,80373285,0.0095438055070164,18,5,0.000197893533279,5.497042591086E-05,0.277777777777778,Predominantly Transcriptional,5,3879,
21,ENSG00000166974,MAPRE2,18,34976928,35143470,1,166542,80373285,0.436217071381368,30,14,0.0001801347407861,8.40628790335171E-05,0.466666666666667,Predominantly Transcriptional,13,1112,
22,ENSG00000263627,PPP4R1-AS1,18,9615264,9619363,1,4099,80373285,0.119658086639111,4,1,0.0009758477677482,0.000243961941937,0.25,Predominantly Transcriptional,1,2,
23,ENSG00000101280,ANGPT4,20,869900,916334,-1,46434,64444167,0.0138587717333673,4,1,8.61437739587371E-05,2.15359434896843E-05,0.25,Predominantly Transcriptional,1,0,
24,ENSG00000128789,PSMG2,18,12658043,12725740,1,67697,80373285,0.157911817340799,8,9,0.0001181736266008,0.0001329453299259,1.125,Predominantly Post-Transcriptional,10,1135.5,2.80999547055163
25,ENSG00000089012,SIRPG,20,1629152,1657779,-1,28627,64444167,0.0255021606532675,1,1,3.49320571488455E-05,3.49320571488455E-05,1,Neutral,7,0,
26,ENSG00000171984,SHLD1,20,5750393,5864395,1,114002,64444167,0.0901151224438978,16,3,0.00014034841494,2.63153278012666E-05,0.1875,Predominantly Transcriptional,4,144.5,
27,ENSG00000224141,MIR548XHG,21,18561265,18760320,-1,199055,46709983,0.399503303180393,1,2,5.02373715807189E-06,1.00474743161438E-05,2,Predominantly Post-Transcriptional,3,43.5,
28,ENSG00000125827,TMX4,20,7977346,8019805,-1,42459,64444167,0.124116361066472,1,1,2.35521326456111E-05,2.35521326456111E-05,1,Neutral,4,1263,0.421779552091793
29,ENSG00000149346,SLX4IP,20,10435305,10636829,1,201524,64444167,0.163491398686246,29,11,0.0001439034556678,5.45840693912388E-05,0.379310344827586,Predominantly Transcriptional,2,366,0.893728777757171
30,ENSG00000178591,DEFB125,20,87250,97094,1,9844,64444167,0.0014302613299354,2,1,0.0002031694433157,0.0001015847216578,0.5,Predominantly Transcriptional,2,0,
31,ENSG00000088812,ATRN,20,3471018,3651118,1,180100,64444167,0.0552581896201715,8,21,4.44197667962243E-05,0.00011660188784,2.625,Predominantly Post-Transcriptional,2,687,0.523017980194824
32,ENSG00000280071,GATD3B,21,5079294,5128413,-1,49119,46709983,0.109266866999288,13,1,0.0002646633685539,2.03587206579938E-05,0.0769230769230769,Predominantly Transcriptional,11,182.5,
33,ENSG00000266969,CEP192-DT,18,12984694,12991173,-1,6479,80373285,0.161595155654021,1,5,0.0001543448062972,0.0007717240314863,5,Predominantly Post-Transcriptional,1,1.5,
34,ENSG00000125845,BMP2,20,6767686,6780246,1,12560,64444167,0.105113718049921,1,4,7.96178343949044E-05,0.0003184713375796,4,Predominantly Post-Transcriptional,1,3.5,
35,ENSG00000265273,PGDP1,18,31962178,31963618,1,1440,80373285,0.397680622361025,1,1,0.0006944444444444,0.0006944444444444,1,Neutral,1,139.5,
36,ENSG00000154639,CXADR,21,17513043,17593579,1,80536,46709983,0.375793564300805,3,1,3.72504221714513E-05,1.24168073904838E-05,0.333333333333333,Predominantly Transcriptional,5,2.5,0.0607454012059534
37,ENSG00000273148,LINC00653,20,18794529,18796067,1,1538,64444167,0.291652431476071,1,1,0.0006501950585175,0.0006501950585175,1,Neutral,1,4.5,
38,ENSG00000125898,FAM110A,20,833715,857463,1,23748,64444167,0.0131212651099982,3,5,0.0001263264274886,0.0002105440458143,1.66666666666667,Predominantly Post-Transcriptional,6,117.5,0.741996768643339
39,ENSG00000178127,NDUFV2,18,9102630,9134345,1,31715,80373285,0.113451720929411,8,15,0.0002522465710231,0.0004729623206684,1.875,Predominantly Post-Transcriptional,9,145.5,1.28079765238298
40,ENSG00000278719,MCM8-AS1,20,5990943,6005821,-1,14878,64444167,0.0930787420993431,3,1,0.000201640005377,6.72133351256889E-05,0.333333333333333,Predominantly Transcriptional,1,2,
41,ENSG00000237914,SIRPG-AS1,20,1633508,1648472,1,14964,64444167,0.025463747556858,1,1,6.68270515904838E-05,6.68270515904838E-05,1,Neutral,2,0,
42,ENSG00000088826,SMOX,20,4120980,4187747,1,66767,64444167,0.0644645387378504,10,4,0.0001497745892431,5.99098356972756E-05,0.4,Predominantly Transcriptional,12,149,
