,Gene Name,Gene Symbol,Chromosome,Gene Start,Gene End,Strand,Gene Length,Chromosome Length,Gene Location,Gene Sites,Transcript Sites,Gene Regulation,Transcript Regulation,Regulation Ratio,Gene Regulation Group,Isoform Count,Transcript Abundance
0,ENSG00000176728,TTTY14,24,18772706,19077416,-1,304710,57227415,0.3306992112084741,1,1,3.2818089330839157e-06,3.2818089330839157e-06,1.0,Neutral,6,0.0
1,ENSG00000158270,COLEC12,18,316737,500722,-1,183985,80373285,0.0050853900024118714,33,4,0.00017936244802565428,2.1740902790988395e-05,0.12121212121212122,Predominantly Transcriptional,2,89.0
2,ENSG00000266441,ARHGAP28-AS1,18,6728821,6729862,-1,1041,80373285,0.08372609754596941,2,1,0.0019212295869356388,0.0009606147934678194,0.5,Predominantly Transcriptional,1,2.0
3,ENSG00000264575,LINC00526,18,5236724,5238598,-1,1874,80373285,0.06516669064851587,3,2,0.0016008537886872999,0.0010672358591248667,0.6666666666666666,Predominantly Transcriptional,1,52.5
4,ENSG00000255112,CHMP1B,18,11851413,11854444,1,3031,80373285,0.14747348574840508,4,8,0.0013196964698119432,0.0026393929396238865,2.0,Predominantly Post-Transcriptional,2,317.5
5,ENSG00000141401,IMPA2,18,11981025,12030877,1,49852,80373285,0.14937738329346623,8,19,0.00016047500601781272,0.00038112813929230523,2.375,Predominantly Post-Transcriptional,11,241.5
6,ENSG00000170579,DLGAP1,18,3496032,4455307,-1,959275,80373285,0.04946506168063182,56,16,5.837742044773397e-05,1.6679262985066847e-05,0.2857142857142857,Predominantly Transcriptional,22,30.5
7,ENSG00000168502,MTCL1,18,8705661,8832778,1,127117,80373285,0.10910614764594977,14,61,0.00011013475774286681,0.0004798728730224911,4.357142857142857,Predominantly Post-Transcriptional,16,710.0
8,ENSG00000168461,RAB31,18,9708275,9862551,1,154276,80373285,0.12174957139054352,27,41,0.0001750110192123208,0.00026575747361870934,1.5185185185185186,Predominantly Post-Transcriptional,12,1866.5
9,ENSG00000260302,LINC01882,18,12739490,12776140,-1,36650,80373285,0.15873203390902835,5,2,0.00013642564802182812,5.457025920873124e-05,0.4,Predominantly Transcriptional,1,54.0
10,ENSG00000267165,CHMP1B-AS1,18,11851414,11852751,-1,1337,80373285,0.14746295986284497,2,6,0.0014958863126402393,0.004487658937920718,3.0,Predominantly Post-Transcriptional,1,0.0
11,ENSG00000206432,TMEM200C,18,5882072,5895955,-1,13883,80373285,0.07327078269850486,4,1,0.00028812216379745014,7.203054094936253e-05,0.25,Predominantly Transcriptional,2,511.0
12,ENSG00000176105,YES1,18,721588,812546,-1,90958,80373285,0.009543805507016417,8,5,8.795268145737594e-05,5.4970425910859956e-05,0.625,Predominantly Transcriptional,5,3545.0
13,ENSG00000166974,MAPRE2,18,34976928,35143470,1,166542,80373285,0.43621707138136756,27,63,0.00016212126670749722,0.00037828295565082683,2.3333333333333335,Predominantly Post-Transcriptional,13,396.5
